Sr. No.,State_Name,District_Name,Block_Name,Gram_Panchayat_Name
1,Gujarat_24,Banaskantha_441,Dantiwada_3735,Akoli_155943
2,Gujarat_24,Banaskantha_441,Dantiwada_3735,Arkhi_155944
3,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhadali (Zat)_155945
4,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhadli Kotha_155946
5,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhakhar Moti_155947
6,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhakhar Nani_155948
7,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhandotra_155949
8,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhilachal_155950
9,Gujarat_24,Banaskantha_441,Dantiwada_3735,Bhilada_155951
10,Gujarat_24,Banaskantha_441,Dantiwada_3735,Chodungri_155952
11,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dangiya_155953
12,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dantiwada_155954
13,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dhaneri_275930
14,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dhaniyawada_155955
15,Gujarat_24,Banaskantha_441,Dantiwada_3735,Godh_275762
16,Gujarat_24,Banaskantha_441,Dantiwada_3735,Gundari_155956
17,Gujarat_24,Banaskantha_441,Dantiwada_3735,Hariyawada_155957
18,Gujarat_24,Banaskantha_441,Dantiwada_3735,Jegol_155958
19,Gujarat_24,Banaskantha_441,Dantiwada_3735,Kotda (Jegol)_260537
20,Gujarat_24,Banaskantha_441,Dantiwada_3735,Lakhanasar_260549
21,Gujarat_24,Banaskantha_441,Dantiwada_3735,Mahudi Moti_155959
22,Gujarat_24,Banaskantha_441,Dantiwada_3735,Nandotra (Brahmanvas)_155960
23,Gujarat_24,Banaskantha_441,Dantiwada_3735,Nandotra (Thakorvas)_155961
24,Gujarat_24,Banaskantha_441,Dantiwada_3735,Odhava_155962
25,Gujarat_24,Banaskantha_441,Dantiwada_3735,Pansval_275758
26,Gujarat_24,Banaskantha_441,Dantiwada_3735,Panthawada_155963
27,Gujarat_24,Banaskantha_441,Dantiwada_3735,Rajkot_275879
28,Gujarat_24,Banaskantha_441,Dantiwada_3735,Rampura Mahudi_275759
29,Gujarat_24,Banaskantha_441,Dantiwada_3735,Ramsida (Chhapra)_155965
30,Gujarat_24,Banaskantha_441,Dantiwada_3735,Ranol_155966
31,Gujarat_24,Banaskantha_441,Dantiwada_3735,Ratanpur_275755
32,Gujarat_24,Banaskantha_441,Dantiwada_3735,Satsan_155967
33,Gujarat_24,Banaskantha_441,Dantiwada_3735,Sikariya_275753
34,Gujarat_24,Banaskantha_441,Dantiwada_3735,Vadvas_507737
35,Gujarat_24,Banaskantha_441,Dantiwada_3735,Vaghrol_155970
36,Gujarat_24,Banaskantha_441,Dantiwada_3735,Vagor_155971
37,Gujarat_24,Banaskantha_441,Dantiwada_3735,Velavas_155972
38,Gujarat_24,Banaskantha_441,Dantiwada_3735,Zat_155973
39,Gujarat_24,Banaskantha_441,Deesa_3740,Agdol_155974
40,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti_155976
41,Gujarat_24,Banaskantha_441,Deesa_3740,Aseda_155977
42,Gujarat_24,Banaskantha_441,Deesa_3740,Baiwada_155978
43,Gujarat_24,Banaskantha_441,Deesa_3740,Balodhar_155979
44,Gujarat_24,Banaskantha_441,Deesa_3740,Bhachalva_155980
45,Gujarat_24,Banaskantha_441,Deesa_3740,Bhadath_155981
46,Gujarat_24,Banaskantha_441,Deesa_3740,Bhadra_155982
47,Gujarat_24,Banaskantha_441,Deesa_3740,Bhadramali_155983
48,Gujarat_24,Banaskantha_441,Deesa_3740,Bhildi Juni_155985
49,Gujarat_24,Banaskantha_441,Deesa_3740,Bhildi Navi_155986
50,Gujarat_24,Banaskantha_441,Deesa_3740,Bhoyan_155987
51,Gujarat_24,Banaskantha_441,Deesa_3740,Bodal_155988
52,Gujarat_24,Banaskantha_441,Deesa_3740,Bural (Tha) Vas_155990
53,Gujarat_24,Banaskantha_441,Deesa_3740,Chhatrala_155993
54,Gujarat_24,Banaskantha_441,Deesa_3740,Chora_155995
55,Gujarat_24,Banaskantha_441,Deesa_3740,Dama_155996
56,Gujarat_24,Banaskantha_441,Deesa_3740,Dasanavas_155997
57,Gujarat_24,Banaskantha_441,Deesa_3740,Davas_155998
58,Gujarat_24,Banaskantha_441,Deesa_3740,Dhanavada_155999
59,Gujarat_24,Banaskantha_441,Deesa_3740,Dharisana_156001
60,Gujarat_24,Banaskantha_441,Deesa_3740,Dharpada_156002
61,Gujarat_24,Banaskantha_441,Deesa_3740,Dhedhal_156003
62,Gujarat_24,Banaskantha_441,Deesa_3740,Dhuva_156006
63,Gujarat_24,Banaskantha_441,Deesa_3740,Fagudra_156007
64,Gujarat_24,Banaskantha_441,Deesa_3740,Ghada_156009
65,Gujarat_24,Banaskantha_441,Deesa_3740,Gharnal Moti_156011
66,Gujarat_24,Banaskantha_441,Deesa_3740,Gharnal Nani_156012
67,Gujarat_24,Banaskantha_441,Deesa_3740,Gugal_156015
68,Gujarat_24,Banaskantha_441,Deesa_3740,Javal_156018
69,Gujarat_24,Banaskantha_441,Deesa_3740,Jhabadiya_156019
70,Gujarat_24,Banaskantha_441,Deesa_3740,Jherda_156021
71,Gujarat_24,Banaskantha_441,Deesa_3740,Jorapura_156023
72,Gujarat_24,Banaskantha_441,Deesa_3740,Juna Deesa_156024
73,Gujarat_24,Banaskantha_441,Deesa_3740,Kanajhara_156027
74,Gujarat_24,Banaskantha_441,Deesa_3740,Kansari_156028
75,Gujarat_24,Banaskantha_441,Deesa_3740,Kant_156029
76,Gujarat_24,Banaskantha_441,Deesa_3740,Khardosan_156031
77,Gujarat_24,Banaskantha_441,Deesa_3740,Khentva_156032
78,Gujarat_24,Banaskantha_441,Deesa_3740,Kuchavada_156035
79,Gujarat_24,Banaskantha_441,Deesa_3740,Laxmipura_156039
80,Gujarat_24,Banaskantha_441,Deesa_3740,Lorvada_156041
81,Gujarat_24,Banaskantha_441,Deesa_3740,Lunpur_156042
82,Gujarat_24,Banaskantha_441,Deesa_3740,Mahadeviya_156043
83,Gujarat_24,Banaskantha_441,Deesa_3740,Malgadh_156044
84,Gujarat_24,Banaskantha_441,Deesa_3740,Manekpura_156045
85,Gujarat_24,Banaskantha_441,Deesa_3740,Mudetha_156047
86,Gujarat_24,Banaskantha_441,Deesa_3740,Nagafana_156048
87,Gujarat_24,Banaskantha_441,Deesa_3740,Nava_156052
88,Gujarat_24,Banaskantha_441,Deesa_3740,Nesda Juna_156053
89,Gujarat_24,Banaskantha_441,Deesa_3740,Nesda Nava_156054
90,Gujarat_24,Banaskantha_441,Deesa_3740,Odhava_156055
91,Gujarat_24,Banaskantha_441,Deesa_3740,Paldi_156056
92,Gujarat_24,Banaskantha_441,Deesa_3740,Pamaru_156057
93,Gujarat_24,Banaskantha_441,Deesa_3740,Pechhdal_156058
94,Gujarat_24,Banaskantha_441,Deesa_3740,Rampura_156060
95,Gujarat_24,Banaskantha_441,Deesa_3740,Ramsan_156061
96,Gujarat_24,Banaskantha_441,Deesa_3740,Ramun_156062
97,Gujarat_24,Banaskantha_441,Deesa_3740,Ramvas_156063
98,Gujarat_24,Banaskantha_441,Deesa_3740,Ranpur Athamno Vas_156064
99,Gujarat_24,Banaskantha_441,Deesa_3740,Ranpur Ugamno Vas_156065
100,Gujarat_24,Banaskantha_441,Deesa_3740,Ranpur Vachlovas_156066
101,Gujarat_24,Banaskantha_441,Deesa_3740,Rasana Mota_156067
102,Gujarat_24,Banaskantha_441,Deesa_3740,Rasana Nana_156068
103,Gujarat_24,Banaskantha_441,Deesa_3740,Ratanpura_276234
104,Gujarat_24,Banaskantha_441,Deesa_3740,Robas Moti_156069
105,Gujarat_24,Banaskantha_441,Deesa_3740,Sadarpur_156070
106,Gujarat_24,Banaskantha_441,Deesa_3740,Samau Motavas_156071
107,Gujarat_24,Banaskantha_441,Deesa_3740,Samau Nanavas_156072
108,Gujarat_24,Banaskantha_441,Deesa_3740,Sanath_156073
109,Gujarat_24,Banaskantha_441,Deesa_3740,Sandiya_156074
110,Gujarat_24,Banaskantha_441,Deesa_3740,Sarat_156075
111,Gujarat_24,Banaskantha_441,Deesa_3740,Saviyana_156076
112,Gujarat_24,Banaskantha_441,Deesa_3740,Shamsherpura_156077
113,Gujarat_24,Banaskantha_441,Deesa_3740,Sherganj_156079
114,Gujarat_24,Banaskantha_441,Deesa_3740,Sherpura_156080
115,Gujarat_24,Banaskantha_441,Deesa_3740,Sotambla_156081
116,Gujarat_24,Banaskantha_441,Deesa_3740,Soyla_276235
117,Gujarat_24,Banaskantha_441,Deesa_3740,Talepura_156082
118,Gujarat_24,Banaskantha_441,Deesa_3740,Tetoda_156083
119,Gujarat_24,Banaskantha_441,Deesa_3740,Thervada_156084
120,Gujarat_24,Banaskantha_441,Deesa_3740,Vadaval_156086
121,Gujarat_24,Banaskantha_441,Deesa_3740,Vahara_156087
122,Gujarat_24,Banaskantha_441,Deesa_3740,Varan_156088
123,Gujarat_24,Banaskantha_441,Deesa_3740,Varnoda_156089
124,Gujarat_24,Banaskantha_441,Deesa_3740,Vasada_156090
125,Gujarat_24,Banaskantha_441,Deesa_3740,Vasna (Juna Deesa)_156091
126,Gujarat_24,Banaskantha_441,Deesa_3740,Velavapura_156094
127,Gujarat_24,Banaskantha_441,Deesa_3740,Viruna_156095
128,Gujarat_24,Banaskantha_441,Deesa_3740,Vithodar_156096
129,Gujarat_24,Banaskantha_441,Deesa_3740,Yavarpura_156097
130,Gujarat_24,Banaskantha_441,Deesa_3740,Zenal_156098
131,Gujarat_24,Banaskantha_441,Deodar_3741,Forna_156112
132,Gujarat_24,Banaskantha_441,Deodar_3741,Jalodha_156117
133,Gujarat_24,Banaskantha_441,Deodar_3741,Jasali_508428
134,Gujarat_24,Banaskantha_441,Deodar_3741,Kotda Forna_156121
135,Gujarat_24,Banaskantha_441,Deodar_3741,Odha_156134
136,Gujarat_24,Banaskantha_441,Deodar_3741,Sardarpura (Jasali)_156143
137,Gujarat_24,Banaskantha_441,Deodar_3741,Soni_156145
138,Gujarat_24,Banaskantha_441,Deodar_3741,Vatam Nava_156151
139,Gujarat_24,Banaskantha_441,Dhanera_3734,Aasiya_260535
140,Gujarat_24,Banaskantha_441,Dhanera_3734,Adal_260522
141,Gujarat_24,Banaskantha_441,Dhanera_3734,Aeta_275886
142,Gujarat_24,Banaskantha_441,Dhanera_3734,Alvada_156152
143,Gujarat_24,Banaskantha_441,Dhanera_3734,Anapur Chhota_156153
144,Gujarat_24,Banaskantha_441,Dhanera_3734,Anpurgadh_275775
145,Gujarat_24,Banaskantha_441,Dhanera_3734,Bapla_156154
146,Gujarat_24,Banaskantha_441,Dhanera_3734,Bhanjana_156155
147,Gujarat_24,Banaskantha_441,Dhanera_3734,Bhatib_156156
148,Gujarat_24,Banaskantha_441,Dhanera_3734,Bhatram_156157
149,Gujarat_24,Banaskantha_441,Dhanera_3734,Charda_260548
150,Gujarat_24,Banaskantha_441,Dhanera_3734,Chhindivadi_275863
151,Gujarat_24,Banaskantha_441,Dhanera_3734,Dedha_156158
152,Gujarat_24,Banaskantha_441,Dhanera_3734,Dhakha_156159
153,Gujarat_24,Banaskantha_441,Dhanera_3734,Dugdol Nani_275776
154,Gujarat_24,Banaskantha_441,Dhanera_3734,Gola_156160
155,Gujarat_24,Banaskantha_441,Dhanera_3734,Jadi_156161
156,Gujarat_24,Banaskantha_441,Dhanera_3734,Jadiya_156162
157,Gujarat_24,Banaskantha_441,Dhanera_3734,Janali_260529
158,Gujarat_24,Banaskantha_441,Dhanera_3734,Jiwana_156163
159,Gujarat_24,Banaskantha_441,Dhanera_3734,Jorapura (Dhakha)_156164
160,Gujarat_24,Banaskantha_441,Dhanera_3734,Khaparol_260541
161,Gujarat_24,Banaskantha_441,Dhanera_3734,Khimat_156165
162,Gujarat_24,Banaskantha_441,Dhanera_3734,Kotada (Dha)_275882
163,Gujarat_24,Banaskantha_441,Dhanera_3734,Kumar_156166
164,Gujarat_24,Banaskantha_441,Dhanera_3734,Kundi_260544
165,Gujarat_24,Banaskantha_441,Dhanera_3734,Kunwarla_156167
166,Gujarat_24,Banaskantha_441,Dhanera_3734,Lawara_156168
167,Gujarat_24,Banaskantha_441,Dhanera_3734,Magarawa_507623
168,Gujarat_24,Banaskantha_441,Dhanera_3734,Malotra_156169
169,Gujarat_24,Banaskantha_441,Dhanera_3734,Mandal_156170
170,Gujarat_24,Banaskantha_441,Dhanera_3734,Mevada_260546
171,Gujarat_24,Banaskantha_441,Dhanera_3734,Mota Meda_260653
172,Gujarat_24,Banaskantha_441,Dhanera_3734,Moti Dugdol_260521
173,Gujarat_24,Banaskantha_441,Dhanera_3734,Nana Meda_260530
174,Gujarat_24,Banaskantha_441,Dhanera_3734,Nanuda_260547
175,Gujarat_24,Banaskantha_441,Dhanera_3734,Negala_260528
176,Gujarat_24,Banaskantha_441,Dhanera_3734,Nenava_156171
177,Gujarat_24,Banaskantha_441,Dhanera_3734,Rajoda_156173
178,Gujarat_24,Banaskantha_441,Dhanera_3734,Rampura (Vaghpura)_276241
179,Gujarat_24,Banaskantha_441,Dhanera_3734,Rampura Mota_275884
180,Gujarat_24,Banaskantha_441,Dhanera_3734,Ravi_156174
181,Gujarat_24,Banaskantha_441,Dhanera_3734,Raviya_156175
182,Gujarat_24,Banaskantha_441,Dhanera_3734,Runi_156176
183,Gujarat_24,Banaskantha_441,Dhanera_3734,Sabavdi_275777
184,Gujarat_24,Banaskantha_441,Dhanera_3734,Samarwada_156177
185,Gujarat_24,Banaskantha_441,Dhanera_3734,Saral_156178
186,Gujarat_24,Banaskantha_441,Dhanera_3734,Shera_275779
187,Gujarat_24,Banaskantha_441,Dhanera_3734,Shergadh (Jadiya)_156179
188,Gujarat_24,Banaskantha_441,Dhanera_3734,Silasana_156180
189,Gujarat_24,Banaskantha_441,Dhanera_3734,Siya_156181
190,Gujarat_24,Banaskantha_441,Dhanera_3734,Sotwada_156182
191,Gujarat_24,Banaskantha_441,Dhanera_3734,Thawar_156183
192,Gujarat_24,Banaskantha_441,Dhanera_3734,Vachhdal_156184
193,Gujarat_24,Banaskantha_441,Dhanera_3734,Vachhol_156185
194,Gujarat_24,Banaskantha_441,Dhanera_3734,Vaktapura_507641
195,Gujarat_24,Banaskantha_441,Dhanera_3734,Valer_156186
196,Gujarat_24,Banaskantha_441,Dhanera_3734,Vasada_260527
197,Gujarat_24,Banaskantha_441,Dhanera_3734,Vasan_156187
198,Gujarat_24,Banaskantha_441,Dhanera_3734,Vinchhivadi_156188
199,Gujarat_24,Banaskantha_441,Dhanera_3734,Virol_156189
200,Gujarat_24,Banaskantha_441,Dhanera_3734,Voda_260545
201,Gujarat_24,Banaskantha_441,Dhanera_3734,Yavarpura_260536
202,Gujarat_24,Banaskantha_441,Kankrej_3743,Arniwada_156198
203,Gujarat_24,Banaskantha_441,Kankrej_3743,Bukoli_156202
204,Gujarat_24,Banaskantha_441,Kankrej_3743,Chekhala_156204
205,Gujarat_24,Banaskantha_441,Kankrej_3743,Dhanera_156207
206,Gujarat_24,Banaskantha_441,Kankrej_3743,Dudasan_156208
207,Gujarat_24,Banaskantha_441,Kankrej_3743,Fategadh_156210
208,Gujarat_24,Banaskantha_441,Kankrej_3743,Jamana Padar_156214
209,Gujarat_24,Banaskantha_441,Kankrej_3743,Kamboi_156216
210,Gujarat_24,Banaskantha_441,Kankrej_3743,Khoda_156222
211,Gujarat_24,Banaskantha_441,Kankrej_3743,Khodla_156223
212,Gujarat_24,Banaskantha_441,Kankrej_3743,Laxmipura_156225
213,Gujarat_24,Banaskantha_441,Kankrej_3743,Ranawada (Jagiri)_156241
214,Gujarat_24,Banaskantha_441,Kankrej_3743,Raner_156243
215,Gujarat_24,Banaskantha_441,Kankrej_3743,Ratanpura (Shihori)_156245
216,Gujarat_24,Banaskantha_441,Kankrej_3743,Samanva_156250
217,Gujarat_24,Banaskantha_441,Kankrej_3743,Shihori_156251
218,Gujarat_24,Banaskantha_441,Kankrej_3743,Ucharpi_156259
219,Gujarat_24,Banaskantha_441,Kankrej_3743,Umbri_156260
220,Gujarat_24,Banaskantha_441,Lakhani_6168,Achhavadiya_508381
221,Gujarat_24,Banaskantha_441,Lakhani_6168,Agthala_155975
222,Gujarat_24,Banaskantha_441,Lakhani_6168,Asasan_260531
223,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhakadiyal_155984
224,Gujarat_24,Banaskantha_441,Lakhani_6168,Bhimgadh_507584
225,Gujarat_24,Banaskantha_441,Lakhani_6168,Chalva_156102
226,Gujarat_24,Banaskantha_441,Lakhani_6168,Chekra_155992
227,Gujarat_24,Banaskantha_441,Lakhani_6168,Chitroda_155994
228,Gujarat_24,Banaskantha_441,Lakhani_6168,Deka_508272
229,Gujarat_24,Banaskantha_441,Lakhani_6168,Dera_276450
230,Gujarat_24,Banaskantha_441,Lakhani_6168,Detala Duva_156382
231,Gujarat_24,Banaskantha_441,Lakhani_6168,Dhroba_156004
232,Gujarat_24,Banaskantha_441,Lakhani_6168,Dhunsol_156005
233,Gujarat_24,Banaskantha_441,Lakhani_6168,Dodiya_507587
234,Gujarat_24,Banaskantha_441,Lakhani_6168,Ganata_276237
235,Gujarat_24,Banaskantha_441,Lakhani_6168,Gela_156390
236,Gujarat_24,Banaskantha_441,Lakhani_6168,Ghana_156010
237,Gujarat_24,Banaskantha_441,Lakhani_6168,Godha_156013
238,Gujarat_24,Banaskantha_441,Lakhani_6168,Jadiyali_156016
239,Gujarat_24,Banaskantha_441,Lakhani_6168,Jasara_156017
240,Gujarat_24,Banaskantha_441,Lakhani_6168,Jhakol_156020
241,Gujarat_24,Banaskantha_441,Lakhani_6168,Kamoda_156025
242,Gujarat_24,Banaskantha_441,Lakhani_6168,Kamodi_156026
243,Gujarat_24,Banaskantha_441,Lakhani_6168,Katarva_156030
244,Gujarat_24,Banaskantha_441,Lakhani_6168,Kherola_156033
245,Gujarat_24,Banaskantha_441,Lakhani_6168,Kotda_156034
246,Gujarat_24,Banaskantha_441,Lakhani_6168,Kuda_156036
247,Gujarat_24,Banaskantha_441,Lakhani_6168,Kuwana_156123
248,Gujarat_24,Banaskantha_441,Lakhani_6168,Lakhani_156038
249,Gujarat_24,Banaskantha_441,Lakhani_6168,Lalpur_156407
250,Gujarat_24,Banaskantha_441,Lakhani_6168,Lavana_156124
251,Gujarat_24,Banaskantha_441,Lakhani_6168,Lembau_156125
252,Gujarat_24,Banaskantha_441,Lakhani_6168,Madal_156414
253,Gujarat_24,Banaskantha_441,Lakhani_6168,Manaki_275864
254,Gujarat_24,Banaskantha_441,Lakhani_6168,Moral_275897
255,Gujarat_24,Banaskantha_441,Lakhani_6168,Mota Kapra_156046
256,Gujarat_24,Banaskantha_441,Lakhani_6168,Nana Kapra_156049
257,Gujarat_24,Banaskantha_441,Lakhani_6168,Nandla_156050
258,Gujarat_24,Banaskantha_441,Lakhani_6168,Nani_156051
259,Gujarat_24,Banaskantha_441,Lakhani_6168,Peparal_260532
260,Gujarat_24,Banaskantha_441,Lakhani_6168,Peplu_156059
261,Gujarat_24,Banaskantha_441,Lakhani_6168,Shergadh_156078
262,Gujarat_24,Banaskantha_441,Lakhani_6168,Taruwa_156435
263,Gujarat_24,Banaskantha_441,Lakhani_6168,Vajegadh_156148
264,Gujarat_24,Banaskantha_441,Lakhani_6168,Vakavada_275900
265,Gujarat_24,Banaskantha_441,Lakhani_6168,Vasna (Kuda)_156092
266,Gujarat_24,Banaskantha_441,Lakhani_6168,Vasna (Vatam)_156093
267,Gujarat_24,Banaskantha_441,Palanpur_3739,Akedi_156266
268,Gujarat_24,Banaskantha_441,Palanpur_3739,Akesan_156267
269,Gujarat_24,Banaskantha_441,Palanpur_3739,Aligadh_276236
270,Gujarat_24,Banaskantha_441,Palanpur_3739,Ambaliyal_508177
271,Gujarat_24,Banaskantha_441,Palanpur_3739,Ambetha_156269
272,Gujarat_24,Banaskantha_441,Palanpur_3739,Angola_156270
273,Gujarat_24,Banaskantha_441,Palanpur_3739,Antroli_156271
274,Gujarat_24,Banaskantha_441,Palanpur_3739,Asmapura (Karjoda)_156272
275,Gujarat_24,Banaskantha_441,Palanpur_3739,Badargadh_156273
276,Gujarat_24,Banaskantha_441,Palanpur_3739,Badarpura (Bhutedi)_156274
277,Gujarat_24,Banaskantha_441,Palanpur_3739,Badarpura (Kalusana)_156275
278,Gujarat_24,Banaskantha_441,Palanpur_3739,Badarpura (Khodla)_156276
279,Gujarat_24,Banaskantha_441,Palanpur_3739,Bhagal (Jagana)_156277
280,Gujarat_24,Banaskantha_441,Palanpur_3739,Bhagal (Pipli)_156278
